"line","enzy1","enzy2","enzy3","enzy4","enzy5","enzy6","enzy7","enzy8"
34,288.220519327824,564.584377460032,1015.10852306781,58052.2211841406,1100.61849138354,557.228859108782,503.716648644252,5236.64965978207
35,335.376152150867,596.459657203995,1054.57891513462,61582.755289073,1163.84819702421,549.305242246888,510.588545995918,5285.51357869761
36,345.288942242442,615.828487676022,1116.81236541364,62297.313020161,1189.05178968042,550.269722892475,500.029970395429,5300.78115685866
37,341.380001782583,656.346485147915,1079.57310953662,60434.3174550806,1156.63470000138,529.9052060752,506.458745685254,5115.32837564378
38,326.855329529838,615.849321530106,1045.06484839538,60510.6053889714,1191.1114228064,573.44473706029,534.649169251459,5354.1422170475
39,312.347035378194,606.519127463092,1099.72373302508,60812.1846012591,1189.15344286864,575.350905380796,549.718255794308,5297.83337422166
40,338.752400650485,635.758251762057,1071.35614923124,61226.2906267039,1177.48582667747,546.193790167021,493.804646986555,5115.60014338432
41,374.641103547643,610.760783587218,1050.72166842209,60878.3598211502,1139.86253872304,596.473034201835,467.476947388881,5130.10294274661
42,355.073192563392,609.744184229269,1068.64488756929,60690.4848390064,1160.48361027611,588.22175680602,493.084463652543,5158.55383449168
43,349.800851359478,593.933509909447,1146.63920487565,59335.274216329,1178.18499136191,566.950439100387,613.258343428002,5136.13188548544
44,311.492346803812,602.170695089628,1052.0391348535,60646.6058661721,1132.20127229937,571.53916108416,438.442499801848,5172.74263226524
45,336.447011951783,626.653234870952,1037.97689459275,59885.1033706869,1126.33056699014,573.0343949799,504.468570854778,5211.67318146151
46,359.025669573764,559.976124929846,1098.51045509068,61255.1482911894,1139.81225392985,584.450427987357,502.82837845891,5447.52227490026
47,380.568340760174,623.440586522739,1045.16992517582,58960.5147072522,1157.82070937164,620.403434919246,523.74994141148,5379.23763053662
48,334.469840471716,672.581953575923,1119.02652123069,62175.8822363496,1200.38850211097,611.354627937825,552.807860360045,5393.33633344126
49,335.122521664914,630.757508524145,1047.54250896033,61527.6119299898,1103.42678202374,650.728742974202,593.249463971369,5187.69596958567
50,333.451387271059,574.813535856049,1042.92921860961,59728.3674211409,1140.43897906761,568.667112060791,526.975906325811,5213.70335864225
51,426.893688988548,725.353981497368,1129.8976570219,62606.2221357578,1188.2250982516,615.192346581629,507.251852822211,5535.13246417451
52,204.987058684774,592.406501094529,996.636651847877,60815.1073727395,1171.04206843154,563.04492829236,537.737844762305,5323.07063528777
53,328.973840234428,574.619867342957,1019.91660665478,59324.2208141719,1141.71020819268,520.895093566198,464.49602969819,5067.85922824963
54,302.267888513435,570.62916558344,1004.49663232136,59728.5169372345,1119.52448644547,554.310651780913,502.122571932769,5260.63685070853
55,275.775600439712,611.880329441794,1016.91860789377,58263.2796857478,1166.34891800457,547.378695136778,530.475582629829,5183.94024073311
56,319.551569751044,572.622026605511,1022.74281340242,61477.8531024037,1110.04595191186,586.560006534249,509.492160614892,5174.5324576538
57,336.613246949102,618.025353116627,1049.30290998145,61709.3321538693,1155.57088706416,659.559724993372,520.611918694158,5267.52060074137
58,346.814696228573,656.35031799299,1099.15103205554,59020.0323953387,1149.94328859184,552.684930709384,497.610809831804,5159.26111744214
59,329.287173779194,625.586158750168,974.746352036958,61699.9499423649,1179.0085509104,529.88761617613,566.867850067287,5201.63253932486
60,360.610734523582,612.033471064585,1037.57021877572,61335.1392661093,1147.19791715438,532.132474476683,535.583803464076,5184.26205272795
61,340.425823774428,578.243847282021,1039.99093673908,59885.3486355482,1136.31052421043,569.376574252624,482.321319697798,5208.21789000529
62,337.280668888744,538.663251417954,1028.90100051919,60440.0646124619,1149.89462988924,546.439142784707,490.188539402664,5244.58245996991
63,365.218917979283,572.417906876513,1081.52337922573,61073.331314781,1178.11737375402,584.019712451855,524.655742022092,5010.62824820147
64,322.788376085678,620.669557771103,1054.84938230659,60479.9490052048,1185.95085975473,548.739948227479,531.839705428989,5268.45763195139
65,318.796490919584,658.176229819991,1069.51007018945,61255.5402661925,1181.3936494969,536.49284418805,543.347011905312,5148.66125513578
66,327.678799385026,598.042033645391,1027.14062807434,59585.3797914538,1188.32581235033,508.635752095888,498.497169983752,5123.881355854
67,382.622622531652,647.141259891733,1098.21749075576,60948.933177427,1176.71892043881,644.392958435445,495.923378609511,5181.21075468591
