LINE,LOC,enzy1,enzy2,enzy3,enzy4,enzy5,enzy6,enzy7,enzy8
36,2,163.456,614.93,1187.252,78554.38,664.354,414.23,658.406,5277.118
37,2,111.035,776.896,1108.496,66659.082,724.456,336.18,701.58,6119.383333
38,2,191.106,604.086,917.112,72676.602,708.582,489.528,747.808,6623.584
39,2,166.304,593.498,1128.72,70421.914,664.328,473.082,809.496,7017.578
40,2,171.108,728.322,1101.918,83548.45,746.108,491.622,677.292,5909.922
41,2,166.416,608.056,1096.432,70495.676,752.4975,402.532,492.966,4876.074
42,2,181.704,495.53,952.73,66147.664,916.42,312.316,602.208,5487.568
43,2,230.16,418.86,1212.436,57890.558,722.5825,385.14,924.72,5015.85
44,2,121.102,544.536,971.09,65098.694,671.065,348.122,453.382,4672.884
45,2,135.058,622.134,836.478,64917.586,519.962,447.95,656.508,6379.714
46,2,190.22,478.564,941.635,76221.768,813.11,392.834,670.158,5453.936667
47,2,180.668,646.064,1029.922,64723.014,572.346,457.31,704.418,6381.648
48,2,151.13,853.486,1246.44,86942.994,1079.402,498.682,839.324,7305.484
49,2,182.608,514.378,1020.54,82281.536,522.256,480.316,927.244,6191.14
50,2,180.456,458.296,859.57,59875.884,634.38,419.088,670.464,5796.556
51,2,214.668,789.836,959.838,83391.742,735.68,529.758,614.762,6978.404
52,2,57.67,548.094,1053.896,82574.116,762.0625,454.998,755.388,7350.54
53,2,117.416,519.99,979.534,74743.738,570.6366667,337.474,568.962,4516.78
54,2,128.568,549.532,842.218,76432.388,508.535,434.316,680.608,7190.77
55,2,100.836,596.724,999.652,66104.798,777.97,450.502,677.478,5837.86
56,2,129.192,546.718,860.62,87261.436,522.224,507.04,669.978,7456.444
57,2,175.586,531.782,892.442,73463.062,533.912,487.84,676.31,9180.388
58,2,165.552,598.14,1096.542,52667.21,698.556,365.932,576.746,4624.926
59,2,199.742,760.44,782.992,87575.264,936.364,467.298,692.416,5491.572
60,2,143.858,629.926,815.95,70058.874,534.426,315.26,682.746,6331.634
61,2,203.684,560.706,827.754,65862.894,663.11,512.956,559.478,5602.28
62,2,178.824,441.774,845.802,58980.804,555.498,355.688,571.358,5757.058
63,2,202.256,495.058,976.512,70128.06,668.016,391.004,708.944,4778.914
64,2,160.624,519.0433333,974.316,73929.866,659.75,405.54,784.16,3970.146
65,2,168.862,693.598,905.508,74966.498,630.94,440.296,691.946,6496.964
66,2,156.386,686.48,817.755,66667.252,703.7875,317.634,581.488,3357.79
67,2,190.666,641.184,1133.034,68259.832,673.77,484.568,532.704,5667.964
1,3,417.7131951,486.3404776,1422.294291,52414.20061,1966.782596,845.8264589,476.4276066,4071.515872
2,3,337.5772411,930.8230481,1008.07435,45761.53651,1807.060834,545.1175576,603.5019275,4518.538832
3,3,628.5174824,558.2408591,1098.370274,51003.69478,2381.588697,707.9976615,485.6096558,4686.251985
4,3,417.7131951,620.6944785,959.4009725,54169.03174,1786.373009,924.7612943,544.0293608,4481.77019
5,3,417.7131951,760.1401499,1183.77897,54192.05228,2274.449998,665.3053375,554.8254147,5525.477757
6,3,397.2996085,467.3294707,1405.467298,55631.49498,1921.422854,616.501293,530.7754529,3925.462855
7,3,305.1831622,743.5113714,1210.74167,58537.58339,1430.754703,708.0699575,687.2065829,3862.761505
8,3,489.7226464,676.0183516,1279.01202,50326.20816,1558.348902,870.8341664,689.5719519,4613.480027
9,3,405.4514846,862.2449009,1331.58237,63014.04848,1879.602023,1001.587943,663.4441318,4538.560911
10,3,417.7131951,699.5040205,1042.818734,56962.21925,2131.595912,749.3007362,759.1141056,4345.256363
11,3,417.7212132,581.8997707,1219.308868,48100.23244,1750.368733,670.7772585,624.7071575,4677.441603
12,3,439.0185369,539.8363591,907.8662187,54185.16572,1543.092941,680.9682355,572.13929,4473.246701
13,3,321.7813767,707.482992,1254.518787,58630.35939,1807.060834,683.6971898,593.2743013,5578.106316
14,3,281.3512778,492.9322695,774.1068642,38571.60234,1662.355855,472.7269791,427.1539849,3373.499625
15,3,529.1919565,674.4814102,1226.577413,50736.88073,2143.10406,665.9782561,601.628795,5366.311372
16,3,417.7131951,814.3940475,1382.225152,54848.10256,1350.59432,716.1022635,604.2057845,7188.550266
17,3,383.7779771,408.5585866,1159.037306,51996.29891,2033.030158,695.1439947,507.4513742,5919.372951
18,3,509.7395449,796.5131792,1265.594654,54083.01205,1807.060834,950.4827866,529.4191829,4061.419653
19,3,417.7131951,569.0781838,1130.484878,59102.84656,2171.544692,553.5116712,447.2857814,4073.202963
20,3,417.7131951,664.1050307,1182.954807,54185.16572,1455.39004,1094.553439,557.2342893,4417.240148
21,3,520.8484864,638.9424501,1108.789304,50035.85332,1426.425096,749.3007362,640.6694317,3613.43351
22,3,324.0399061,705.4056549,1038.712301,50345.09995,1786.712725,727.0134501,621.3783812,3397.664826
23,3,425.6389472,587.5322944,1097.302282,41878.92798,1772.759534,529.0029517,508.1278905,3902.574243
24,3,458.6402995,669.2180098,1226.394321,56536.94777,1313.309231,749.3007362,718.4784796,4478.211661
25,3,464.7476545,648.3786231,1011.876336,45371.43162,2620.362958,626.2992393,421.3072875,5524.135487
26,3,417.7131951,653.6846811,959.6576619,52842.50027,1907.279601,749.3007362,580.5715364,5216.499308
27,3,411.567801,710.7120763,1034.303179,71987.81961,1807.060834,664.1087866,447.521807,5236.029525
28,3,370.0743834,776.7222506,1160.318784,44673.88674,2412.126082,442.6719756,669.8965707,5059.310844
29,3,261.6016363,685.5163543,1148.383536,51606.53406,1539.020775,624.9297459,473.3419671,3445.214535
30,3,318.4869821,748.5686046,1021.101818,54185.16572,1529.974206,602.4293991,427.4590323,4481.77019
31,3,392.2590777,782.3946749,1044.672373,56772.30085,1868.97665,778.2014342,497.8082321,4304.903548
32,3,390.4699205,663.9809945,1163.351425,50165.08624,1670.999535,620.5431239,507.2872097,3614.832125
33,3,213.6100608,727.1651747,1154.82301,49516.71468,1835.759657,855.3299537,569.4716573,4318.34443
34,3,346.5406339,673.0287574,1155.227541,48934.9671,1373.599505,708.5361776,505.7983909,5194.794474
35,3,487.4266545,765.141446,1266.381944,60154.64046,1757.717767,753.7388713,584.482481,4254.014944
36,3,462.6812708,724.0262243,1208.997908,60329.64106,2112.133969,739.5255813,514.0864628,4412.165265
37,3,436.5535065,805.011248,956.6184659,59848.79896,1758.559477,570.8849559,480.9834624,2678.252962
38,3,359.1187275,720.2237098,1121.832886,54185.16572,2287.395549,766.7748505,581.0444012,5539.967413
39,3,312.7738141,687.7046002,1259.343742,58757.46209,1998.033359,723.3084332,564.4507136,4481.77019
40,3,417.7131951,769.4780539,1174.614897,54185.16572,1954.239133,580.3167075,479.1650511,3325.778313
41,3,569.2259197,721.4625431,991.9578291,56635.04153,1411.085065,902.2504996,506.4826525,4635.167315
42,3,557.6478389,825.2450114,1228.985524,62120.45956,1638.501553,1008.545957,534.1364584,4291.510456
43,3,444.0764081,886.8194472,1303.043943,54185.16572,1719.367974,776.2682378,713.4675299,3547.678848
44,3,420.6666164,734.324465,1066.674739,57495.61374,1594.503857,895.6721098,452.9765871,4189.116772
45,3,463.969476,666.1946251,1155.227541,47891.57933,1394.315812,707.7353341,569.4716573,3697.393923
46,3,498.3161944,617.13795,1358.34032,54865.84188,1764.737997,814.1887721,502.2996979,4413.794227
47,3,601.6447929,761.2272495,1032.551653,39239.37163,1807.060834,959.9952753,502.460946,3765.571697
48,3,408.8364639,680.0846071,1116.523338,54026.14025,1807.060834,819.7538826,548.02879,6386.705569
49,3,387.5984299,948.5717952,1041.350979,58026.34624,1260.83398,1135.614007,681.9736406,3700.985446
50,3,417.7131951,664.6740417,1093.264541,50961.66714,1840.869672,749.3007362,610.0465132,4715.593862
51,3,572.4245687,775.6591259,1255.403249,49880.64756,1799.059074,720.203678,437.7024123,3505.229292
52,3,110.4199094,749.9533915,810.165533,54185.16572,1993.987729,749.3007362,569.4716573,4481.77019
53,3,458.7361101,618.9148986,995.1669339,40540.60285,1807.060834,655.3010391,461.4824861,4198.623261
54,3,417.7131951,596.9385151,1138.872182,45256.74345,1420.829267,698.569417,508.8396977,3994.026726
55,3,280.8074105,858.879608,1178.536673,42096.05254,1854.612625,668.4981099,602.6022021,3193.663909
56,3,417.7131951,593.5496503,1031.484831,51642.35761,1309.253115,807.0056922,557.542005,4563.587605
57,3,362.7968477,796.1205054,1106.280906,60071.36046,1629.505679,1067.640567,569.4716573,3801.477507
58,3,417.7131951,885.1114258,1199.623432,51546.71223,1777.812555,745.8008409,545.254912,3652.567414
59,3,417.7131951,601.1573527,944.3403287,51963.21597,1897.112336,513.0503662,705.2435135,4421.177577
60,3,465.7254474,639.6326788,1068.98483,54782.5819,1807.060834,580.1517232,612.6936489,3817.312703
61,3,403.8062893,709.8016592,1138.968407,54606.78399,1591.028923,696.6963731,521.4350596,4242.572298
62,3,417.7131951,546.0097463,1112.326339,58396.34817,1882.719128,760.7950871,543.9592712,5052.953825
63,3,498.0734447,550.1973071,1196.855037,54185.16572,2170.094912,825.4111116,576.3125937,4269.265963
64,3,417.7131951,725.4750818,1081.383823,51550.92456,2010.747443,692.7493224,535.4938045,4396.867542
65,3,398.5166403,899.0609937,1221.111329,64761.16486,1679.412212,584.7074814,715.0362094,4538.49919
66,3,443.6456607,565.0738182,1194.085114,43057.02052,2039.811311,597.567825,519.009695,3119.571618
67,3,510.2933636,717.0508439,1018.614413,51327.56968,1721.379428,915.2055269,528.3398591,4156.531856
