id,ID,1,3,4,5,6,9,10,11,12,14,15,16,17,19,20,21,22,23,26,28,29,30,32,34,35,39,42,44,45,46,47,49,50,51,53,54,58,59,60,61,63,64,67,68,69,70,72,73,75,77,78,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,97
trehalose,Trehalose,1.0257416195,1.2067631842,0.5963299098,0.8224580335,1.9295137691,0.9419528764,1.226065122,0.9048196612,1.1923261413,0.7434533208,2.4787012485,1.0927263269,1.2178100697,1.5033009835,1.1945232629,0.8341538169,0.9847487054,1.1711524473,0.879274578,0.7393073035,0.8355299393,0.8141718497,0.5815339781,0.9276326875,1.1296994427,1.6024550287,0.7521841798,0.9491501624,1.1833203295,1.4297440076,1.0787704841,1.1879120078,0.9293309055,0.7025375087,0.952041403,0.8788899124,0.8004157389,0.5634486369,0.7270235818,0.8852080156,0.9494238826,1.1418648617,0.7947383827,1.1709054181,0.787769715,1.2992077114,0.9595483074,1.0547968072,0.7434956469,1.1887760017,1.1339032587,0.8621300727,0.6746988642,1.0095172026,0.5465051948,0.886598598,0.9192758158,1.0460035494,0.9481300263,1.52721986,0.9504032354,0.7115665229,1.9389634625,1.577295889,1.2397552753,0.9122377252,0.8683853831
raffinose,Raffinose,0.0424769386,0.1250939278,0.0482717149,0.063022914,0.1072028605,0.2459449841,0.1105536563,0.1686285664,0.0957915934,0.0758712761,0.1096960882,0.1306367191,0.0403034074,0.487185561,0.0907020411,0.1854063106,0.0832753977,0.0833634935,0.0794154844,0.052223636,0.063369012,0.0435297067,0.0239111543,0.028848566,0.078116406,0.1188308173,0.0989567634,0.0561844027,0.1230180021,0.0739958156,0.0961978949,0.0703877121,0.0678353775,0.0330913499,0.0475096859,0.053542228,0.0563464135,0.0341373168,0.0787524178,0.1416771651,0.0789272721,0.1420345679,0.0299289586,0.0497470929,0.0602674757,0.0750120305,0.0712676108,0.036208282,0.0757831013,0.100108339,0.1273984073,0.0728949232,0.0908243173,0.0921028195,0.078918279,0.0879723279,0.2843927434,0.1483946154,0.0935000077,0.0533065535,0.1350194013,0.0727393663,0.0899434215,0.1278475471,0.057869699,0.0655200168,0.0612496135
"inositol, myo","Inositol, myo",0.3489497006,0.5463093607,0.5571710442,0.7497412235,0.5867571999,0.406821624,0.581744527,0.467835609,0.6374399584,0.417524587,0.3893364057,0.4849619377,0.2911196873,0.7094816499,0.7368807368,0.9198503429,0.4328315475,0.467636133,0.8796670007,0.5724712859,0.4665064693,0.3953240528,0.571823718,0.782228392,0.5135213396,0.4289393437,0.6972830036,0.399510271,0.6262377796,0.3624799857,1.0464687052,0.6589026778,0.3520381369,0.4882195617,0.4463125484,0.6155457359,0.6584925608,0.5091723295,0.545036194,0.5569595539,0.6045969685,0.6316211009,0.5887551964,0.6436043859,0.7934717173,0.6093518044,0.7142738174,0.5035850427,0.6281451555,0.4689326737,0.7314698752,0.4675394004,0.5615816464,0.4851827298,0.3785605974,0.7445837082,1.0178013758,0.8942980438,0.4592303521,0.4832557681,0.5594758629,0.5479256449,0.6754401803,0.5027932144,0.5067468028,0.7425987509,0.4666401724
erythritol,Erythritol,6.4667086496,10.1124928182,1.8875801181,2.2556584785,14.4447102805,1.7188548225,4.1784868434,4.8420991956,3.4511476653,1.9363864607,5.4671032923,3.2984882677,6.2452454543,7.7518277112,5.5405861046,1.6983878199,3.5718464838,2.0549289118,1.7644514119,1.5742628636,1.8335972818,2.4095730098,1.4424265252,2.2592832595,7.6749073674,10.8243846781,4.5177371683,2.4531846157,5.070706924,4.1784868434,2.7195887066,13.7754666264,3.8516803594,2.0517477378,2.8333322137,2.4876849724,2.117618169,2.9462999002,5.7212263366,6.4881333885,4.1784868434,3.1558433132,1.7284817354,6.2323637101,5.5186804871,4.1784868434,5.2079862446,7.6601859639,4.8812657578,4.1185629911,4.6412244548,1.46247185,3.999306254,4.1784868434,2.9410841869,2.720066131,3.3508708329,4.1784868434,4.0954053259,12.429456327,3.5427275452,1.4805202807,5.0066543809,6.389513853,1.761888162,1.4205458133,3.0029244839
aa,AA,37.1158899634,37.0951952971,49.0378551512,33.0262591065,33.1165672998,29.4474589855,38.435420564,46.2098712258,48.2884543945,35.3097597362,41.8990230866,41.7406033789,51.2503775831,53.1045634879,39.4144263991,38.6198596804,39.5331777626,43.3672453044,46.0116569991,39.6811139329,50.8014996244,41.2119025903,43.8230151808,62.5511034463,44.777810297,51.7450996853,35.1859095478,41.674254397,32.982233512,35.86995635,32.9071666646,32.4210025361,40.0262443219,43.4226202916,40.5608535447,47.9059176846,39.7664128891,45.14671246,53.1543501001,42.7548683281,45.0827456101,42.7293774065,46.3920452425,34.2255342049,47.3532684872,38.2442873591,45.4677664712,54.4162637721,53.3144816907,48.3055889068,39.6583298531,47.6946291046,35.2024199415,37.5986794762,47.0380987684,54.5817089636,42.3322124753,31.2603466258,46.4276681576,44.6500819975,43.3851267256,36.5829193637,44.6276515004,33.6700184721,46.5395408541,32.6293194479,45.7598416204
alanine,Alanine,0.5975577315,2.4186337173,0.519648424,0.6754299914,1.4801016564,1.6907476007,0.7390906674,1.4168458173,0.4496424381,2.2478848737,2.6952296585,1.7154352597,1.0607882911,1.1804592387,0.7807480397,1.2920569632,1.4380088542,0.5404063234,0.6455010538,1.1507492116,1.1354948243,1.1013804569,0.4531115291,0.6357351033,1.8341497236,1.8777767724,0.7944980009,1.2802155786,0.6568768447,1.5399305503,0.5552015636,0.6153690294,0.7816517848,0.807162078,0.7474184704,0.8652311691,0.3889749069,0.355794283,0.7547792592,0.7469529354,0.9711470446,2.2257734103,0.5146913188,1.1362130293,0.4603305973,0.67333344,0.9022856904,0.9140734865,1.1763620861,1.7426112057,1.6963798644,0.76760417,0.4167601657,1.2476835824,0.9390286964,1.1410166162,1.0323540776,0.9648582351,1.4131066838,2.7227977105,1.499001806,0.7512592792,1.4815263688,1.4038279701,0.7886005532,0.4936149245,1.5110322268
aspartic acid,Aspartic acid,2.2123825246,4.2394418555,3.9624082101,3.2586149102,4.152035673,4.5534182413,4.3406362179,3.7426658367,4.2289002654,6.2754395684,5.4127346759,4.3831894663,3.2957320892,4.9744110538,4.5909661437,4.6365375077,4.2071303764,4.1540958285,4.5425538233,4.2965390888,3.2701125966,4.1744201385,3.1842118617,3.8732503212,6.4686279571,4.2440761113,3.7101150829,3.0243478789,3.1848325739,3.334547958,2.8499444032,2.9605041822,3.0687175027,5.2035138923,3.2453279649,5.179300111,3.724419318,2.6523571656,3.4764254265,5.466293575,3.5060291023,6.1159560974,3.2213893367,2.2309036367,4.8776280406,4.7074661585,4.0949102941,3.2747138382,1.6074052145,3.6229417266,6.3698328367,4.224712899,3.1495413422,2.2265488869,3.816034449,4.0691165857,3.6342077277,5.0715236404,3.8949259189,3.6014742083,4.706438734,4.6781142214,2.8452276745,2.792745334,3.5032400626,3.4593761149,4.5212702871
glutamic acid,Glutamic acid,3.4341277399,3.3406023949,3.9933220045,3.5871364367,3.7215191973,3.4240565529,4.7638326213,3.304890818,4.1801898413,4.4227963104,3.4595890711,3.6421977963,3.7042782357,4.7334782045,4.6965303673,4.2179248364,3.7736715389,4.2979993721,4.6418601075,4.6281460369,3.4607384969,3.7786111667,4.8490058611,4.3539535926,3.2821813924,3.4980287277,4.4989704802,3.1771560011,3.9145651566,3.0170614396,3.925415668,3.569740309,3.3959504757,3.8524519374,4.2148352441,4.5956979408,4.5080500747,3.6263378809,4.3212310855,4.1135226222,3.7418505727,3.5302245665,4.815715757,2.746387442,4.5179861826,4.2766944506,4.2005962531,3.9151703867,2.573501077,3.3943652374,4.6159705006,3.9960410356,3.8657826367,2.7267317007,3.4358288508,4.0453355334,3.8755465112,4.1314307197,3.4733531566,3.2743315098,4.1165700034,4.1570419519,3.8393775568,2.8522581714,3.7379825699,4.1314737282,3.2414662256
phenylalanine,Phenylalanine,2.1592727683,3.4432230229,3.2685209502,2.8466626122,3.7799196652,1.9045667587,3.184446501,3.2407838204,3.3335411121,2.8490577847,3.4471960958,3.0487325707,3.4540399282,4.0571833336,3.2838646932,2.9339090154,2.9850858629,2.9666027812,3.6602770923,3.5951582737,2.6815014164,2.4892273122,4.3121690136,4.1520657232,3.304930407,2.9919311109,2.339955094,2.504619503,2.2741593565,2.3960780352,2.0570390783,2.7729828189,2.2138432616,3.1131174227,2.2638288717,3.0831025359,2.7563988346,3.5536842738,2.3505169024,3.0440231121,5.0963781748,3.2509399758,3.9111536095,3.8140948908,2.4556476577,2.6024382282,2.8564274566,3.4210632333,3.0304025973,3.5786015729,4.1849234924,3.2756883208,2.2675627667,3.368575064,3.4324818317,3.4553801101,3.7740758108,2.2973894065,2.4940329643,2.5912689381,2.7710018433,2.3399524087,3.687525472,3.061431056,2.1625559755,3.2022603488,3.1285137036
glycine,Glycine,0.7521469418,0.7156975111,0.7004208497,0.6050039985,0.9892157008,0.526208192,0.7960405361,0.8306754261,1.1281173842,0.4842556062,0.4697008776,0.8625692612,2.1669816069,1.0557703872,0.5531386223,0.6946069321,0.9036538352,0.6052968625,0.7659990036,1.1298908967,0.4940371584,0.6584814664,0.6275509173,0.6035593702,0.4342132929,1.5674649205,0.4357087883,0.8212067669,0.5257036537,0.6382908747,1.2877393176,1.2295889078,0.5637469541,0.7590335178,0.7171910028,1.0418814673,0.4368013422,0.622067311,1.2041758682,0.6096002846,0.7249317448,0.4853207363,1.4870753715,1.1249401175,0.931393552,0.7518477654,1.4860538099,0.5564862774,0.6377670826,1.319683464,1.0461893142,0.8951247058,0.4190099057,0.7919663395,0.5915216038,0.9009991571,0.9282606781,0.479152092,0.6879828993,1.4932485308,1.0253901544,0.9783227927,0.7915561514,0.6589822946,0.7874487368,0.5966409217,1.3324938369
