id,ID ID,1 1,3 3,4 4,5 5,6 6,9 9,10 10,11 11,12 12,14 14,15 15,16 16,17 17,19 19,20 20,21 21,22 22,23 23,26 26,28 28,29 29,30 30,32 32,34 34,35 35,39 39,42 42,44 44,45 45,46 46,47 47,49 49,50 50,51 51,53 53,54 54,58 58,59 59,60 60,61 61,63 63,64 64,67 67,68 68,69 69,70 70,72 72,73 73,75 75,77 77,78 78,80 80,81 81,82 82,83 83,84 84,85 85,86 86,87 87,88 88,89 89,90 90,91 91,92 92,93 93,94 94,97 97
ornithine,Ornithine,11,11,19,13,14,12,10,18,12,13,16,19,17,20,20,13,16,10,10,20,17,19,15,19,10,13,18,18,12,16,20,17,20,10,16,19,12,14,11,18,15,10,17,13,11,15,10,16,20,16,12,10,18,14,20,20,16,11,13,19,13,17,11,12,14,10,14
shikimic acid,Shikimic acid,1.038598861,0.946936018,1.207335243,0.554800528,1.207022632,1.314493106,2.033258898,1.312795108,0.950363477,1.188424816,1.180486618,1.051546243,1.106505137,1.560101768,1.593268723,1.665312561,1.249415162,1.080587816,1.159275585,1.343413797,0.924485366,1.207515371,1.377855447,1.215696366,1.177348505,1.1586783,1.237567778,1.237567778,0.806539675,1.655306696,1.515217282,0.99846729,1.040230858,1.763223726,1.336636568,1.237567778,1.110495862,1.338102457,1.119464178,1.237567778,1.365874535,1.341685224,1.612742124,1.125566454,1.041890018,1.000566534,1.237567778,1.237567778,1.237567778,1.127073685,1.237567778,0.745845367,1.251816649,1.496863872,1.005078587,0.916034351,1.113402493,1.553573776,1.796053238,1.279318653,0.958849367,0.970160096,0.744366157,1.237567778,1.633362144,1.237567778,1.237567778
"proline, 4-hydroxy","Proline, 4-hydroxy",0.970933369,1.79168463,2.096137411,1.086644208,1.975852507,1.146039251,1.225212088,1.22392177,1.389737469,1.923883933,1.680592547,0.9971517,1.829567588,1.600154075,1.061803088,1.570926012,1.48333671,1.455975548,2.217905831,0.75301844,0.948645535,1.602002144,1.419830538,1.690105407,1.474274924,1.730314817,1.912875908,1.413038541,1.821257215,1.116264784,0.066786572,1.569270243,1.363371458,0.951923312,1.250742649,2.498050815,2.061398563,0.052496052,1.719471632,1.413038541,1.74628442,2.050949987,1.452202711,1.026982658,0.044561833,1.093147643,1.413038541,1.155618047,1.394368339,1.530854228,1.027409146,0.769083807,1.414411893,0.522545559,1.253255406,1.177310447,1.148684322,1.76315057,1.888398756,2.91659576,0.25055649,1.495187685,1.251787144,1.074724638,1.675190506,0.755834784,0.899587302
malate,malate,3.467591045,5.040511955,3.575184679,3.467591045,2.788454251,3.467591045,3.893895603,2.864483601,3.467591045,5.193998772,3.314866676,3.467591045,3.840884129,3.676480425,3.353855425,3.467591045,3.467591045,4.04561143,3.667257629,2.483937715,2.722193615,3.467591045,3.467591045,3.631307238,3.35597329,3.841839655,3.17603332,3.467591045,3.491945195,3.467591045,3.467591045,1.433185259,3.530164813,3.467591045,3.488570127,3.290517285,3.467591045,3.467591045,2.604844221,3.467591045,3.257256269,3.225498114,2.751644396,3.306819913,3.467591045,3.467591045,3.75959419,3.466842486,3.879146732,2.601078941,3.21951691,3.467591045,4.409449118,2.740976526,3.467591045,3.467591045,3.467591045,5.588043252,3.200019484,4.521359691,4.5597339,3.468171109,3.688629734,3.524272114,1.978902414,3.467591045,3.24645064
fumarate,fumarate,9.905738979,2.86835348,3.134286696,7.310202318,2.871589941,4.178380839,3.633268624,7.488344946,2.405244455,10.00710167,3.484858951,3.041938968,3.342291902,12.20054229,6.827384422,12.19182044,12.05764935,4.011751056,8.922170571,9.768101117,4.714321161,7.338021511,7.403917851,5.565021734,3.390191801,11.68749122,8.202863123,7.436673679,3.256425087,15.0459234,5.590035919,3.601380775,6.810689439,6.53232528,6.786026888,7.936919328,17.68274606,11.95544646,10.06630837,7.436673679,5.036572292,4.847441558,6.221234661,5.443789636,9.360473248,7.319982417,7.436673679,6.562155848,6.823440964,2.989158206,7.754432996,5.368175063,4.529897532,5.87336747,5.422412642,6.526249342,7.042280061,12.18026309,7.415811615,5.171744904,8.976205326,6.031746688,7.021770935,6.758735872,1.918944091,4.582004696,5.784041613
succinate,succinate,0.319891851,0.422794359,0.456940751,0.695849519,0.802510915,0.559389873,0.383835508,1.287013768,0.329668282,0.539458652,1.008738136,0.688183374,0.482931326,1.186525885,0.587723022,0.616740603,0.523395944,0.680835109,0.579840062,0.41332221,0.603411902,0.594822241,0.525702314,0.539530369,0.570313442,0.413538142,0.817234546,0.60496929,0.219750479,0.520734486,0.549574998,0.389071585,0.539367656,0.664578279,0.744802637,0.775457835,0.398268877,0.796152473,0.299687861,0.60496929,0.6480319,0.530437425,0.737973767,0.566910376,0.885934314,0.640373602,0.60496929,0.684610428,0.95129566,0.517554167,0.861627529,0.370562561,0.481647396,0.892925916,0.372703664,0.665056604,0.615549447,0.881095751,0.621148991,0.474511589,0.392636159,0.508120724,0.628093862,0.544792807,0.278921902,0.645683783,0.501416492
glyceric acid,Glyceric acid,1.457490661,1.0602046,1.00215979,1.277701424,1.401294398,0.991024412,1.092090855,1.589194231,1.156830855,1.685506735,1.027526329,1.109696507,0.625326087,1.560199242,1.153399862,0.440609035,0.813642788,1.144535318,1.51252698,1.374840245,1.437677605,1.02481522,0.91758116,1.219225659,1.296153812,1.50396104,1.463587936,1.114739206,1.019348947,0.873683217,2.419260468,1.094307723,0.70790148,0.467958946,0.967555172,1.052935288,0.353272974,0.721355053,0.90160404,1.114739206,1.42230975,1.110038031,0.955922301,0.913129319,0.771192768,2.899628909,1.114739206,0.889737687,1.232666759,1.381209286,1.305376612,0.556720295,1.215340053,1.084649603,1.390659012,1.290946808,0.803952736,1.424330332,1.492995947,1.264098377,1.268658306,1.031838918,0.320624148,1.417949556,0.671884218,0.705706535,1.209096792
no3,NO3,66,74,70,60,66,81,100,54,59,99,58,87,71,84,54,78,85,55,94,89,95,54,70,90,55,76,85,77,50,74,55,58,76,68,82,78,66,81,81,79,54,87,92,50,51,53,90,59,75,57,76,93,93,65,68,79,56,62,88,84,85,74,88,51,89,63,83
urea,Urea,1.350535447,1.605139446,0.966456134,1.107534745,1.040762097,1.060611139,0.876289802,1.180706172,0.966561786,2.429805674,1.306349302,1.30318576,1.441638216,1.043543259,1.22385817,1.311291207,1.139158379,2.910537397,1.402460555,1.10351497,0.965709797,1.517194752,0.638623993,1.212775337,1.079186663,0.110621999,0.697977806,1.264578938,1.81163685,3.40629771,1.039870841,1.38550348,0.548143425,1.330286076,1.105164471,1.391922227,1.131527526,1.03448501,1.264578938,1.264578938,1.059186527,2.428560061,0.716422941,1.105043401,1.969680268,1.273746068,1.264578938,0.618783629,0.668009757,1.007064498,1.313891259,1.359076838,2.930598748,2.149908268,1.13734526,1.975436948,2.282450611,1.264578938,1.269320479,1.16056718,0.891679926,1.266503435,1.090027857,0.813063106,0.543651552,1.32852968,0.455290321
4-amino-butyrate,4-amino-butyrate,0.502839889,0.54328745,0.484820605,0.592064849,0.564067265,0.711068828,0.608522786,0.657969966,0.677162253,0.723983433,0.760679026,0.584907192,0.533535562,0.582728467,0.694409766,0.672555623,0.632284325,0.985274615,0.449066348,0.480106537,0.570543777,0.72568832,0.505960408,0.711713305,0.542410512,0.503351614,0.618835654,0.638349548,0.46727934,1.052826371,1.086021988,0.500885823,0.545261647,0.811539089,0.551005768,0.921442076,1.022723445,0.483847164,0.314062257,0.638349548,0.709107202,0.715323463,0.517240081,0.569511541,0.532576338,0.692733523,0.638349548,0.736423158,0.779503896,0.591514094,0.716987052,0.546612399,0.736603317,0.673812071,0.457864083,0.511891408,0.525436677,0.436469665,0.688577355,0.656267848,0.555020814,0.673922451,0.542851624,0.696266262,0.757244149,0.842967105,0.687273101
benzoic acid,Benzoic acid,0.863901272,0.915904917,0.984155256,1.021755439,0.896070911,1.002212954,0.856489103,0.9059188,1.256655748,0.853737621,0.805942774,0.914452197,0.896345954,1.023332255,0.902810074,0.912278713,1.441971992,1.018420879,0.935171016,0.887794085,0.837922741,0.797191036,0.848851901,1.007366811,0.895950604,0.862032086,1.142501557,0.992992914,1.046027395,1.820056306,0.840402914,0.975934105,0.702083398,1.250319626,0.930327202,1.131056729,0.977394389,0.689122978,1.070993905,0.992992914,1.120521794,1.148190526,0.938375371,0.891917711,0.945665414,1.190623077,0.992992914,0.916446251,1.005446752,0.934271099,1.3674474,0.727061614,0.972095839,1.490160774,0.886690343,1.600957365,0.991041706,0.833555948,0.861768283,1.211283571,0.878901459,0.906207106,0.76995076,1.224562256,0.731471398,0.954190696,0.976074322
nicotinic acid,Nicotinic acid,0.290843886,0.292578843,0.292578843,0.292578843,0.292578843,0.292578843,0.292578843,0.292578843,0.292578843,0.523784286,0.292578843,0.292578843,0.292578843,0.522633478,0.214272998,0.247695238,0.207725628,0.292578843,0.351632129,0.128702512,0.454836191,0.292578843,0.292578843,0.364522447,0.292578843,0.292578843,0.671041787,0.292578843,0.114872975,0.292578843,0.292578843,0.292578843,0.292578843,0.231398387,0.275555587,0.521463071,0.292578843,0.292578843,0.44087436,0.292578843,0.326103411,0.292578843,0.375251073,0.292578843,0.292578843,0.462926399,0.292578843,0.264924918,0.25681313,0.040270146,0.232091303,0.425114559,0.275943763,0.290425205,0.195419543,0.154830313,0.292578843,0.210556972,0.631769485,0.082264928,0.292578843,0.048947313,0.238232191,0.269669247,0.292578843,0.204986735,0.188223393
dehydroascorbate,Dehydroascorbate,1.860314817,1.760789387,0.508240299,2.553431235,0.200655301,3.240936907,2.538810958,3.464106147,1.683125243,3.972386764,3.566101488,3.331622402,2.322472828,2.690596368,3.262923672,3.314770171,2.978515028,4.548000807,2.572122827,2.534782422,2.860161185,2.695811815,2.244271025,2.496266482,0.229890264,2.197818687,2.36976066,2.53484958,1.526844216,5.030028821,1.642720621,0.212800338,1.340165672,2.78483756,2.642175883,1.981476256,1.645849257,2.877053832,2.124680661,2.53484958,1.223019421,2.725040903,2.879264136,3.68559261,2.073320372,4.625271903,2.53484958,2.823072748,1.8913828,1.869913221,2.016298847,2.373238656,1.065090449,2.558245528,3.347400576,3.18637083,1.797937222,3.722214438,2.871584014,3.594180579,2.504966318,3.02063379,1.671011288,3.021733817,1.441842468,1.739114725,2.169722728
