"flux","G variance","E variance","G-by-E varicane","residual","G%","E%","GxE%","e%","h2"
"X167","0.00147284452705861","0.00677549831510062","0.00116753282190843","0.00139925234170438","0.136183735067449","0.626483413925802","0.107953675748019","0.12937917525873","0.161781038466113"
"X168","0.00147284452705861","0.00677549831510062","0.00116753282190843","0.00139925234170438","0.136183735067449","0.626483413925802","0.107953675748019","0.12937917525873","0.161781038466113"
"X169","0.00147284452705861","0.00677549831510062","0.00116753282190843","0.00139925234170438","0.136183735067449","0.626483413925802","0.107953675748019","0.12937917525873","0.161781038466113"
"X170","0.00147284452705861","0.00677549831510062","0.00116753282190843","0.00139925234170438","0.136183735067449","0.626483413925802","0.107953675748019","0.12937917525873","0.161781038466113"
"X171","0.00147284452705861","0.00677549831510062","0.00116753282190843","0.00139925234170438","0.136183735067449","0.626483413925802","0.107953675748019","0.12937917525873","0.161781038466113"
"X172","0.00147284452705861","0.00677549831510062","0.00116753282190843","0.00139925234170438","0.136183735067449","0.626483413925802","0.107953675748019","0.12937917525873","0.161781038466113"
"X173","0.159129461654758","0.592103993487066","0.114014363126678","0.147835949223124","0.157074337543438","0.584457092776349","0.112541891189289","0.145926678490924","0.189774902641385"
"X174","0.159129461654758","0.592103993487066","0.114014363126678","0.147835949223124","0.157074337543438","0.584457092776349","0.112541891189289","0.145926678490924","0.189774902641385"
"X175","0.000631448207558638","0.00288240719343952","0.000536719639405937","0.000564528292682933","0.136822116859573","0.624559622051081","0.11629634282683","0.122321918262515","0.162705047138705"
"X176","0.000631448207558638","0.00288240719343952","0.000536719639405937","0.000564528292682933","0.136822116859573","0.624559622051081","0.11629634282683","0.122321918262515","0.162705047138705"
"X177","0.000631448207558638","0.00288240719343952","0.000536719639405937","0.000564528292682933","0.136822116859573","0.624559622051081","0.11629634282683","0.122321918262515","0.162705047138705"
"X178","0.000631448207558638","0.00288240719343952","0.000536719639405937","0.000564528292682933","0.136822116859573","0.624559622051081","0.11629634282683","0.122321918262515","0.162705047138705"
"X179","0.000631448207558638","0.00288240719343952","0.000536719639405937","0.000564528292682933","0.136822116859573","0.624559622051081","0.11629634282683","0.122321918262515","0.162705047138705"
"X180","0.139880203751437","0.515210467222468","0.102529044276392","0.127249470238878","0.158080093696684","0.582244783377385","0.115869154399033","0.143805968526898","0.191175832177448"
"X181","0.139880203751437","0.515210467222468","0.102529044276392","0.127249470238878","0.158080093696684","0.582244783377385","0.115869154399033","0.143805968526898","0.191175832177448"
"X182","6.72003245335525e-05","0.000303919273946681","5.74271943328279e-05","5.94973925979687e-05","0.137693115792285","0.622729013133761","0.117668022792778","0.121909848281176","0.16386547724643"
"X183","6.72003245335525e-05","0.000303919273946681","5.74271943328279e-05","5.94973925979687e-05","0.137693115792285","0.622729013133761","0.117668022792778","0.121909848281176","0.16386547724643"
"X184","6.72003245335525e-05","0.000303919273946681","5.74271943328279e-05","5.94973925979687e-05","0.137693115792285","0.622729013133761","0.117668022792778","0.121909848281176","0.16386547724643"
"X185","6.72003245335525e-05","0.000303919273946681","5.74271943328279e-05","5.94973925979687e-05","0.137693115792285","0.622729013133761","0.117668022792778","0.121909848281176","0.16386547724643"
"X186","6.99575484397984e-05","0.000313501019594051","5.61478694715938e-05","6.50337106729203e-05","0.13862858255002","0.621236777782581","0.11126318362555","0.128871456041849","0.165051663750905"
"X187","0.00075835661414349","0.00351998311450587","0.00064359516044898","0.000672891749203493","0.135546043366532","0.629149630912294","0.115033977289478","0.120270348431695","0.160765209516304"
"X188","0.00075835661414349","0.00351998311450587","0.00064359516044898","0.000672891749203493","0.135546043366532","0.629149630912294","0.115033977289478","0.120270348431695","0.160765209516304"
